Dataset,Deletion,kNN,GAIN,MIWAE,Linear,Quadratic
colorectal,63.95,68.75,71.98,74.63,76.47,79.23
lung,67.5,66.54,68.48,72.93,74.62,76.47
ovarian,64.72,66.21,67.5,66.11,73.29,74.13
prostate,68.75,70.07,72.63,75.11,77.22,80.38
