Dataset,Deletion,kNN,GAIN,MIWAE,Linear,Quadratic
colorectal,71.64,73.51,79.17,77.39,76.47,79.23
lung,70.51,70.91,80.43,76.3,74.62,76.47
ovarian,69.69,72.32,74.3,79.91,73.29,74.13
prostate,70.3,71.92,75.79,78.68,77.22,80.38
