cohort,n_pairs,median_diff,ci_lo,ci_hi,ci_half,p_raw,p_holm
colorectal,50,0.0009126916292275938,0.0006597538154412969,0.0011635157283609865,0.0002518809564598448,3.134559278805682e-10,1.2538237115222728e-09
lung,50,0.0005019407115815083,0.000290202291999192,0.0007677761130337468,0.0002387869105172774,7.111603951059919e-06,1.4223207902119839e-05
ovarian,50,0.00032251887845790445,-0.00015062905832879947,0.0009829473446011094,0.0005667882014649545,0.020120643634562896,0.020120643634562896
prostate,50,0.0007468090079445489,0.00034161363499859987,0.0009634721113045974,0.0003109292381529988,1.7394549622906652e-07,5.218364886871996e-07
