comparator,cohort,n_pairs,median_diff,ci_lo,ci_hi,ci_half,p_raw,p_holm,x_floor,ci_excludes_zero
spsm_global,lung,50,0.0025998986256700607,0.001858777687701596,0.0032038447579806895,0.0006725335351395467,3.552713678800501e-15,1.0658141036401503e-14,1.2999493128350303,True
spsm_global,ovarian,50,-0.004357164702659497,-0.005725945954837011,-0.002661657432411299,0.001532144261212856,2.2310435863204248e-06,4.4620871726408495e-06,-2.1785823513297484,True
spsm_global,prostate,50,-7.661673417591608e-05,-0.0006144444292947582,0.000583365582437323,0.0005989050058660406,0.6051405400941228,0.6051405400941228,-0.03830836708795804,False
pattern_submodels,lung,50,0.0020131273559214485,0.0018434822714235855,0.0022295929858326957,0.00019305535720455513,4.440892098500626e-14,4.440892098500626e-14,1.0065636779607243,True
pattern_submodels,ovarian,50,0.024376543710039847,0.023241652598657403,0.0262645188972781,0.0015114331493103483,1.7763568394002505e-15,5.329070518200751e-15,12.188271855019924,True
pattern_submodels,prostate,50,0.0017897894879761456,0.001529778451574898,0.0019763690399447614,0.00022329529418493171,1.7763568394002505e-15,5.329070518200751e-15,0.8948947439880728,True
mask_interaction,lung,50,-0.05264872287607128,-0.05620272000689827,-0.04835914366748069,0.003921788169708791,1.7763568394002505e-15,5.329070518200751e-15,-26.32436143803564,True
mask_interaction,ovarian,50,-0.04779233033876096,-0.05093132799276878,-0.04022746459877602,0.0053519316969963815,3.552713678800501e-15,5.329070518200751e-15,-23.896165169380478,True
mask_interaction,prostate,50,-0.09004912435934424,-0.09502557748829356,-0.08539144488231444,0.004817066302989559,1.7763568394002505e-15,5.329070518200751e-15,-45.024562179672124,True
