cohort,n_pairs,median_diff,ci_lo,ci_hi,ci_half,p_raw,p_holm
lung,50,0.0025998986256700607,0.001858777687701596,0.0032038447579806895,0.0006725335351395467,3.552713678800501e-15,1.0658141036401503e-14
ovarian,50,-0.004357164702659497,-0.005725945954837011,-0.002661657432411299,0.001532144261212856,2.2310435863204248e-06,4.4620871726408495e-06
prostate,50,-7.661673417591608e-05,-0.0006144444292947582,0.000583365582437323,0.0005989050058660406,0.6051405400941228,0.6051405400941228
