Dataset,Deletion,kNN,GAIN,MIWAE,Linear,Quadratic
colorectal,65.15,69.54,75.9,78.2,76.47,79.23
lung,68.44,76.39,80.79,79.11,74.62,76.47
ovarian,70.09,78.15,84.09,80.67,73.29,74.13
prostate,67.92,72.61,80.36,80.1,77.22,80.38
