comparator,cohort,n_pairs,median_diff,ci_lo,ci_hi,ci_half,p_raw,p_holm,x_floor,ci_excludes_zero
spsm_global,colorectal,50,0.0009126916292275938,0.0006597538154412969,0.0011635157283609865,0.0002518809564598448,3.134559278805682e-10,1.2538237115222728e-09,0.4563458146137969,True
spsm_global,lung,50,0.0005019407115815083,0.000290202291999192,0.0007677761130337468,0.0002387869105172774,7.111603951059919e-06,1.4223207902119839e-05,0.25097035579075416,True
spsm_global,ovarian,50,0.00032251887845790445,-0.00015062905832879947,0.0009829473446011094,0.0005667882014649545,0.020120643634562896,0.020120643634562896,0.16125943922895222,False
spsm_global,prostate,50,0.0007468090079445489,0.00034161363499859987,0.0009634721113045974,0.0003109292381529988,1.7394549622906652e-07,5.218364886871996e-07,0.3734045039722744,True
pattern_submodels,colorectal,50,0.0007491953836503001,0.0006183497156798945,0.0009465018392336155,0.00016407606177686052,3.552713678800501e-15,1.4210854715202004e-14,0.37459769182515007,True
pattern_submodels,lung,50,0.0015862588400496064,0.0012028772128414994,0.00189970796947031,0.00034841537831440533,4.440892098500626e-14,1.3322676295501878e-13,0.7931294200248031,True
pattern_submodels,ovarian,50,0.00029234207868769624,9.815880346390055e-05,0.0005457350486634954,0.00022378812259979744,0.001235703558341683,0.002471407116683366,0.14617103934384812,True
pattern_submodels,prostate,50,7.210987873484953e-05,-2.562043396089897e-06,0.0001637507588118925,8.31564011039912e-05,0.04294367729928261,0.04294367729928261,0.036054939367424765,False
mask_interaction,colorectal,50,-0.005236616720589102,-0.008612811741330995,-0.0024912378259931006,0.003060786957668947,1.5471859846627467e-06,1.5471859846627467e-06,-2.618308360294551,True
mask_interaction,lung,50,-0.017252358357461153,-0.018866266767646453,-0.014222214911752379,0.002322025927947037,8.881784197001252e-15,3.552713678800501e-14,-8.626179178730576,True
mask_interaction,ovarian,50,-0.015858326390683852,-0.017852570507890048,-0.012605959341312999,0.0026233055832885245,1.7763568394002505e-14,5.3290705182007514e-14,-7.929163195341926,True
mask_interaction,prostate,50,-0.005754378294063792,-0.008029078330113681,-0.0032521110001780956,0.002388483664967793,1.192391962945294e-09,2.384783925890588e-09,-2.8771891470318955,True
