dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_eicu_regime,POOLED,47701,0,0.3707259805874091,30,0.7733952626272089,nan,0.5496672333540136
cand_eicu_regime,3,2230,0,0.19461883408071748,30,0.7112156558866092,0.6995114591565486,0.563127354181848
cand_eicu_regime,6,619,0,0.5605815831987075,30,0.6260700966265469,0.6667867435158501,0.584092642820817
cand_eicu_regime,7,1066,0,0.45590994371482174,30,0.6197513126152973,0.646542855115652,0.5968993898112672
cand_eicu_regime,10,499,0,0.16633266533066132,30,0.7022416589434662,0.7137685356811863,0.5855827154772938
cand_eicu_regime,14,569,0,0.08260105448154657,30,0.8063096111518708,0.7915545773212684,0.5213377353876253
cand_eicu_regime,19,942,0,0.15605095541401273,30,0.7582381380225045,0.7895520472339881,0.588161553929748
cand_eicu_regime,21,765,0,0.1568627450980392,30,0.7335465116279071,0.7338242894056848,0.569625322997416
cand_eicu_regime,24,551,0,0.2250453720508167,30,0.639806980433633,0.6184558434690641,0.4838426380599834
cand_eicu_regime,26,758,0,0.3720316622691293,30,0.7170309613206984,0.7151312652720663,0.5868049347398533
cand_eicu_regime,28,631,0,0.3248811410459588,30,0.7145711668384289,0.7456773159280888,0.5500687049124012
cand_eicu_regime,30,926,0,0.4762419006479482,30,0.6861350725857354,0.7029712228534025,0.586380531594081
cand_eicu_regime,34,1127,0,0.45430346051464066,30,0.6574822154471545,0.6652026168699188,0.5491012449186992
cand_eicu_regime,45,599,0,0.4290484140233723,30,0.6938130020251667,0.695485471135686,0.6237570255079983
cand_eicu_regime,46,1124,0,0.20551601423487545,30,0.6724790700154641,0.6913172680249947,0.5464216634429401
cand_eicu_regime,49,1878,0,0.21938232161874335,30,0.733090835640207,0.744170452588776,0.594694135021656
cand_eicu_regime,58,880,0,0.49886363636363634,30,0.5927354996668371,0.6074928072975584,0.5993935919090492
cand_eicu_regime,60,644,0,0.09472049689440994,30,0.6730028400303687,0.687638838118269,0.5195427832297613
cand_eicu_regime,61,629,0,0.2861685214626391,30,0.7547698589458055,0.7205518436030685,0.6029386290522148
cand_eicu_regime,68,1160,0,0.31724137931034485,30,0.7245879309398331,0.7195820295344753,0.5499440738910848
cand_eicu_regime,72,552,0,0.29528985507246375,30,0.6319649250082798,0.6288028135694798,0.5405554591764317
cand_eicu_regime,81,649,0,0.5716486902927581,30,0.5482945180243946,0.597582850161919,0.557195214179061
cand_eicu_regime,83,547,0,0.376599634369287,30,0.6988511801383708,0.6793411724511004,0.5858767759018306
cand_eicu_regime,86,623,0,0.9983948635634029,30,0.7363344051446945,nan,0.19292604501607719
cand_eicu_regime,88,673,0,0.4011887072808321,30,0.7179579082804888,0.7511809576325704,0.5566859663633857
cand_eicu_regime,89,665,0,0.524812030075188,30,0.6337047985201842,0.7092053244350949,0.5403050306481447
cand_eicu_regime,90,1593,0,0.0025109855618330196,30,0.6448237885462555,0.5278477029578351,0.6491504090623034
cand_eicu_regime,94,1239,0,0.3268765133171913,30,0.6751398880895283,0.7364301151671255,0.5615566805814607
cand_eicu_regime,96,759,0,0.2318840579710145,30,0.7013878060190238,0.6853705364104163,0.5166312568220801
cand_eicu_regime,98,1228,0,0.3265472312703583,30,0.7422269598072534,0.7415032551631804,0.5760719121181328
cand_eicu_regime,POOLED,47701,1,0.0684891302069139,30,0.9969878596401285,nan,0.5116557797418482
cand_eicu_regime,3,2230,1,0.04708520179372197,30,0.9902879551820727,0.9897747899159663,0.513880112044818
cand_eicu_regime,6,619,1,0.34248788368336025,30,0.9895577395577395,0.990971674933939,0.542348523480599
cand_eicu_regime,7,1066,1,0.14071294559099437,30,0.9990174672489084,0.9990465793304222,0.5087627365356623
cand_eicu_regime,10,499,1,0.02404809619238477,30,0.9563655030800821,0.8127994524298426,0.6316735112936345
cand_eicu_regime,14,569,1,0.02460456942003515,30,0.9497425997425997,0.9735521235521235,0.38101673101673106
cand_eicu_regime,19,942,1,0.03821656050955414,30,0.9986662987490802,0.9428041452048075,0.4704439538876625
cand_eicu_regime,21,765,1,0.04967320261437908,30,0.9988416708897414,0.9788423948454354,0.4559110982407877
cand_eicu_regime,24,551,1,0.05989110707803993,30,0.9980694980694981,0.9685854685854686,0.4610389610389611
cand_eicu_regime,26,758,1,0.05013192612137203,30,0.9982456140350877,0.8060672514619882,0.5144371345029239
cand_eicu_regime,28,631,1,0.10301109350237718,30,0.9997825496058711,0.998192443598804,0.49493068768687143
cand_eicu_regime,30,926,1,0.02159827213822894,30,1.0,0.9432119205298013,0.5147075055187638
cand_eicu_regime,34,1127,1,0.1251109139307897,30,0.9992051846417217,0.9990001870153784,0.5265777624329262
cand_eicu_regime,42,1296,1,0.12654320987654322,30,0.9999111221235887,0.9995583038869258,0.5005494268723606
cand_eicu_regime,45,599,1,0.06343906510851419,30,1.0,0.9336476217281171,0.4325452669105919
cand_eicu_regime,46,1124,1,0.060498220640569395,30,0.9994359959893048,0.9532015931372549,0.4768758355614973
