dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
sweep_42737,-1,fit,lca_1,-2.526358357721947,8,11,24,60000,60000
sweep_42737,-1,fit,lca_2,-1.9298850963232388,8,11,24,60000,60000
sweep_42737,-1,fit,lca_5,-1.7206969336952818,8,11,24,60000,60000
sweep_42737,-1,fit,lca_10,-1.716579137201255,8,11,24,60000,60000
sweep_42737,-1,fit,lca_20,-1.6969268478989408,8,11,24,60000,60000
sweep_42737,-1,fit,lca_50,-1.6967196943413976,8,11,24,60000,60000
sweep_42737,-1,fit,lca_100,-1.6964147550335644,8,11,24,60000,60000
sweep_42737,0,auroc,values,1.0000000000000002,8,11,24,60000,60000
sweep_42737,0,auroc,panels_tree,0.8044004279781228,8,11,24,60000,60000
sweep_42737,0,auroc,panels_l1,0.8027751481435135,8,11,24,60000,60000
sweep_42737,0,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,0,auroc,lca_2,0.7985557585155627,8,11,24,60000,60000
sweep_42737,0,auroc,lca_5,0.7909742717901047,8,11,24,60000,60000
sweep_42737,0,auroc,lca_10,0.8064435673429043,8,11,24,60000,60000
sweep_42737,0,auroc,lca_20,0.8043566340690828,8,11,24,60000,60000
sweep_42737,0,auroc,lca_50,0.8041244310703045,8,11,24,60000,60000
sweep_42737,0,auroc,lca_100,0.8056281983933952,8,11,24,60000,60000
sweep_42737,0,auroc,both,1.0000000000000002,8,11,24,60000,60000
sweep_42737,1,auroc,values,0.999955395762942,8,11,24,60000,60000
sweep_42737,1,auroc,panels_tree,0.9634574231025776,8,11,24,60000,60000
sweep_42737,1,auroc,panels_l1,0.9625023697044939,8,11,24,60000,60000
sweep_42737,1,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,1,auroc,lca_2,0.9535691902581173,8,11,24,60000,60000
sweep_42737,1,auroc,lca_5,0.9585038015256709,8,11,24,60000,60000
sweep_42737,1,auroc,lca_10,0.9585630373868039,8,11,24,60000,60000
sweep_42737,1,auroc,lca_20,0.9637991710251207,8,11,24,60000,60000
sweep_42737,1,auroc,lca_50,0.9635736704037242,8,11,24,60000,60000
sweep_42737,1,auroc,lca_100,0.9636037772058159,8,11,24,60000,60000
sweep_42737,1,auroc,both,0.9999983635610337,8,11,24,60000,60000
sweep_42737,2,auroc,values,0.999978513019904,8,11,24,60000,60000
sweep_42737,2,auroc,panels_tree,0.9599984435004519,8,11,24,60000,60000
sweep_42737,2,auroc,panels_l1,0.9599341487670445,8,11,24,60000,60000
sweep_42737,2,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,2,auroc,lca_2,0.9557776331577131,8,11,24,60000,60000
sweep_42737,2,auroc,lca_5,0.9599985148913267,8,11,24,60000,60000
sweep_42737,2,auroc,lca_10,0.9597378021093943,8,11,24,60000,60000
sweep_42737,2,auroc,lca_20,0.9600275810167185,8,11,24,60000,60000
sweep_42737,2,auroc,lca_50,0.9602493601157805,8,11,24,60000,60000
sweep_42737,2,auroc,lca_100,0.9599590273714353,8,11,24,60000,60000
sweep_42737,2,auroc,both,0.9999993909465992,8,11,24,60000,60000
sweep_42737,3,auroc,values,0.9999999920699896,8,11,24,60000,60000
sweep_42737,3,auroc,panels_tree,0.9873016584451093,8,11,24,60000,60000
sweep_42737,3,auroc,panels_l1,0.9869063791454239,8,11,24,60000,60000
sweep_42737,3,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,3,auroc,lca_2,0.7607140447835761,8,11,24,60000,60000
sweep_42737,3,auroc,lca_5,0.9750302369315034,8,11,24,60000,60000
sweep_42737,3,auroc,lca_10,0.9863089480199632,8,11,24,60000,60000
sweep_42737,3,auroc,lca_20,0.9870379261233726,8,11,24,60000,60000
sweep_42737,3,auroc,lca_50,0.987561068911164,8,11,24,60000,60000
sweep_42737,3,auroc,lca_100,0.9873884484442148,8,11,24,60000,60000
sweep_42737,3,auroc,both,0.9999999841399791,8,11,24,60000,60000
sweep_42737,4,auroc,values,0.9999999261544369,8,11,24,60000,60000
sweep_42737,4,auroc,panels_tree,0.7266226783006249,8,11,24,60000,60000
sweep_42737,4,auroc,panels_l1,0.7265810170954529,8,11,24,60000,60000
sweep_42737,4,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,4,auroc,lca_2,0.7001164021457059,8,11,24,60000,60000
sweep_42737,4,auroc,lca_5,0.721423880916645,8,11,24,60000,60000
sweep_42737,4,auroc,lca_10,0.7252341458191411,8,11,24,60000,60000
sweep_42737,4,auroc,lca_20,0.7277421257553017,8,11,24,60000,60000
sweep_42737,4,auroc,lca_50,0.7277890535850073,8,11,24,60000,60000
sweep_42737,4,auroc,lca_100,0.7256922108725694,8,11,24,60000,60000
sweep_42737,4,auroc,both,0.9999999733335466,8,11,24,60000,60000
sweep_42737,5,auroc,values,0.9994003185543268,8,11,24,60000,60000
sweep_42737,5,auroc,panels_tree,0.9727745097398713,8,11,24,60000,60000
sweep_42737,5,auroc,panels_l1,0.9521587413811079,8,11,24,60000,60000
sweep_42737,5,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,5,auroc,lca_2,0.9532556895399622,8,11,24,60000,60000
sweep_42737,5,auroc,lca_5,0.9651596064088133,8,11,24,60000,60000
sweep_42737,5,auroc,lca_10,0.9654460448594817,8,11,24,60000,60000
sweep_42737,5,auroc,lca_20,0.972482953857701,8,11,24,60000,60000
sweep_42737,5,auroc,lca_50,0.9714763402082124,8,11,24,60000,60000
sweep_42737,5,auroc,lca_100,0.9720795140667726,8,11,24,60000,60000
sweep_42737,5,auroc,both,0.9999232275103951,8,11,24,60000,60000
sweep_42737,6,auroc,values,1.0,8,11,24,60000,60000
sweep_42737,6,auroc,panels_tree,0.6414563686613737,8,11,24,60000,60000
sweep_42737,6,auroc,panels_l1,0.6408943935301225,8,11,24,60000,60000
sweep_42737,6,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,6,auroc,lca_2,0.5804466894514322,8,11,24,60000,60000
sweep_42737,6,auroc,lca_5,0.6251271639978907,8,11,24,60000,60000
sweep_42737,6,auroc,lca_10,0.6387860117106521,8,11,24,60000,60000
sweep_42737,6,auroc,lca_20,0.6408409774420241,8,11,24,60000,60000
sweep_42737,6,auroc,lca_50,0.6380648920354663,8,11,24,60000,60000
sweep_42737,6,auroc,lca_100,0.6419794351640454,8,11,24,60000,60000
sweep_42737,6,auroc,both,1.0,8,11,24,60000,60000
sweep_42737,7,auroc,values,1.0,8,11,24,60000,60000
sweep_42737,7,auroc,panels_tree,1.0,8,11,24,60000,60000
sweep_42737,7,auroc,panels_l1,0.9999925423644611,8,11,24,60000,60000
sweep_42737,7,auroc,lca_1,0.5,8,11,24,60000,60000
sweep_42737,7,auroc,lca_2,0.8958905091366983,8,11,24,60000,60000
sweep_42737,7,auroc,lca_5,0.9999925423644611,8,11,24,60000,60000
sweep_42737,7,auroc,lca_10,0.9999982407628984,8,11,24,60000,60000
sweep_42737,7,auroc,lca_20,1.0,8,11,24,60000,60000
sweep_42737,7,auroc,lca_50,1.0,8,11,24,60000,60000
sweep_42737,7,auroc,lca_100,1.0,8,11,24,60000,60000
sweep_42737,7,auroc,both,1.0,8,11,24,60000,60000
