dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
sweep_42093,holdout,0.0,-1,0,mask_full,0.7243505268066494,0.49935,60000,35
sweep_42093,holdout,1.0,0,35,values,0.9999745348929685,0.49935,60000,35
sweep_42093,holdout,1.0,0,35,values+mask_full,0.9999745348929685,0.49935,60000,35
sweep_42093,holdout,1.0,0,35,values+mask_kept,0.9999745348929685,0.49935,60000,35
sweep_42093,holdout,0.75,0,27,values,0.968490731929257,0.49935,60000,35
sweep_42093,holdout,0.75,0,27,values+mask_full,0.9688367707492359,0.49935,60000,35
sweep_42093,holdout,0.75,0,27,values+mask_kept,0.968490731929257,0.49935,60000,35
sweep_42093,holdout,0.75,1,27,values,0.9999711845056032,0.49935,60000,35
sweep_42093,holdout,0.75,1,27,values+mask_full,0.9999705292795833,0.49935,60000,35
sweep_42093,holdout,0.75,1,27,values+mask_kept,0.9999711845056032,0.49935,60000,35
sweep_42093,holdout,0.75,2,27,values,0.9999747482832874,0.49935,60000,35
sweep_42093,holdout,0.75,2,27,values+mask_full,0.9999728365320886,0.49935,60000,35
sweep_42093,holdout,0.75,2,27,values+mask_kept,0.9999747482832874,0.49935,60000,35
sweep_42093,holdout,0.5,0,18,values,0.9812524791372309,0.49935,60000,35
sweep_42093,holdout,0.5,0,18,values+mask_full,0.9813819600495612,0.49935,60000,35
sweep_42093,holdout,0.5,0,18,values+mask_kept,0.9812524791372309,0.49935,60000,35
sweep_42093,holdout,0.5,1,18,values,0.9999803331648057,0.49935,60000,35
sweep_42093,holdout,0.5,1,18,values+mask_full,0.9999799954539103,0.49935,60000,35
sweep_42093,holdout,0.5,1,18,values+mask_kept,0.9999803331648057,0.49935,60000,35
sweep_42093,holdout,0.5,2,18,values,0.9999733825688917,0.49935,60000,35
sweep_42093,holdout,0.5,2,18,values+mask_full,0.9999719963506215,0.49935,60000,35
sweep_42093,holdout,0.5,2,18,values+mask_kept,0.9999733825688917,0.49935,60000,35
sweep_42093,holdout,0.25,0,9,values,0.8571540065012072,0.49935,60000,35
sweep_42093,holdout,0.25,0,9,values+mask_full,0.8747371012865408,0.49935,60000,35
sweep_42093,holdout,0.25,0,9,values+mask_kept,0.8571540065012072,0.49935,60000,35
sweep_42093,holdout,0.25,1,9,values,0.9394342578817045,0.49935,60000,35
sweep_42093,holdout,0.25,1,9,values+mask_full,0.940842097815671,0.49935,60000,35
sweep_42093,holdout,0.25,1,9,values+mask_kept,0.9394342578817045,0.49935,60000,35
sweep_42093,holdout,0.25,2,9,values,0.9460762678123464,0.49935,60000,35
sweep_42093,holdout,0.25,2,9,values+mask_full,0.9502584232221618,0.49935,60000,35
sweep_42093,holdout,0.25,2,9,values+mask_kept,0.9460762678123464,0.49935,60000,35
sweep_42093,holdout,0.1,0,4,values,0.8384097083727982,0.49935,60000,35
sweep_42093,holdout,0.1,0,4,values+mask_full,0.8565728279350723,0.49935,60000,35
sweep_42093,holdout,0.1,0,4,values+mask_kept,0.8384097083727982,0.49935,60000,35
sweep_42093,holdout,0.1,1,4,values,0.9216143446341526,0.49935,60000,35
sweep_42093,holdout,0.1,1,4,values+mask_full,0.9413408862871895,0.49935,60000,35
sweep_42093,holdout,0.1,1,4,values+mask_kept,0.9216143446341526,0.49935,60000,35
sweep_42093,holdout,0.1,2,4,values,0.786430128356514,0.49935,60000,35
sweep_42093,holdout,0.1,2,4,values+mask_full,0.816198432479633,0.49935,60000,35
sweep_42093,holdout,0.1,2,4,values+mask_kept,0.786430128356514,0.49935,60000,35
