dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
sweep_42333,holdout,0.0,-1,0,mask_full,0.7175046126756943,0.4996073327798595,44567,34
sweep_42333,holdout,1.0,0,34,values,0.9906279198557368,0.4996073327798595,44567,34
sweep_42333,holdout,1.0,0,34,values+mask_full,0.9906279198557368,0.4996073327798595,44567,34
sweep_42333,holdout,1.0,0,34,values+mask_kept,0.9906279198557368,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,0,26,values,0.9906130163478996,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,0,26,values+mask_full,0.9906178022437597,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,0,26,values+mask_kept,0.9906130163478996,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,1,26,values,0.990740340005371,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,1,26,values+mask_full,0.9907242527968846,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,1,26,values+mask_kept,0.990740340005371,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,2,26,values,0.990269914894724,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,2,26,values+mask_full,0.9902581460836045,0.4996073327798595,44567,34
sweep_42333,holdout,0.75,2,26,values+mask_kept,0.990269914894724,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,0,17,values,0.9887929632078353,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,0,17,values+mask_full,0.9887875384983328,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,0,17,values+mask_kept,0.9887929632078353,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,1,17,values,0.9591766059344486,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,1,17,values+mask_full,0.959620379355359,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,1,17,values+mask_kept,0.9591766059344486,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,2,17,values,0.9890482725663676,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,2,17,values+mask_full,0.9890647419335593,0.4996073327798595,44567,34
sweep_42333,holdout,0.5,2,17,values+mask_kept,0.9890482725663676,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,0,9,values,0.9159727084717724,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,0,9,values+mask_full,0.9198354313912467,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,0,9,values+mask_kept,0.9159727084717724,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,1,9,values,0.9238781036772734,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,1,9,values+mask_full,0.9262067354024474,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,1,9,values+mask_kept,0.9238781036772734,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,2,9,values,0.9473829185004967,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,2,9,values+mask_full,0.9486383524133888,0.4996073327798595,44567,34
sweep_42333,holdout,0.25,2,9,values+mask_kept,0.9473829185004967,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,0,4,values,0.6772901701440974,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,0,4,values+mask_full,0.7352945211137684,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,0,4,values+mask_kept,0.6772901701440974,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,1,4,values,0.7693130454103226,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,1,4,values+mask_full,0.8122198780289717,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,1,4,values+mask_kept,0.7693130454103226,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,2,4,values,0.8500751005123658,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,2,4,values+mask_full,0.8662037544167837,0.4996073327798595,44567,34
sweep_42333,holdout,0.1,2,4,values+mask_kept,0.8500751005123658,0.4996073327798595,44567,34
