dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
sweep_42739,holdout,0.0,-1,0,mask_full,0.4754964933481186,0.34271666666666667,60000,61
sweep_42739,holdout,1.0,0,61,values,0.7501959071565922,0.34271666666666667,60000,61
sweep_42739,holdout,1.0,0,61,values+mask_full,0.7501959071565922,0.34271666666666667,60000,61
sweep_42739,holdout,1.0,0,61,values+mask_kept,0.7501959071565922,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,0,46,values,0.7440743484868864,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,0,46,values+mask_full,0.7470677846346325,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,0,46,values+mask_kept,0.7440743484868864,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,1,46,values,0.7134576189591393,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,1,46,values+mask_full,0.7132196873376367,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,1,46,values+mask_kept,0.7134576189591393,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,2,46,values,0.7457298398295306,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,2,46,values+mask_full,0.7449103977611686,0.34271666666666667,60000,61
sweep_42739,holdout,0.75,2,46,values+mask_kept,0.7457298398295306,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,0,31,values,0.5892618951909453,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,0,31,values+mask_full,0.5943297241152554,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,0,31,values+mask_kept,0.5892618951909453,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,1,31,values,0.7290634581548434,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,1,31,values+mask_full,0.7293737130548144,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,1,31,values+mask_kept,0.7290634581548434,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,2,31,values,0.596409400176913,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,2,31,values+mask_full,0.6011587840725252,0.34271666666666667,60000,61
sweep_42739,holdout,0.5,2,31,values+mask_kept,0.596409400176913,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,0,16,values,0.5854212165651067,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,0,16,values+mask_full,0.5931665078323138,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,0,16,values+mask_kept,0.5854212165651067,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,1,16,values,0.6056164942594796,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,1,16,values+mask_full,0.6118795242969787,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,1,16,values+mask_kept,0.6056164942594796,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,2,16,values,0.5454080474086167,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,2,16,values+mask_full,0.5524901916733785,0.34271666666666667,60000,61
sweep_42739,holdout,0.25,2,16,values+mask_kept,0.5454080474086167,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,0,7,values,0.5106496230268638,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,0,7,values+mask_full,0.5662641889511726,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,0,7,values+mask_kept,0.5106496230268638,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,1,7,values,0.39251304418415156,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,1,7,values+mask_full,0.5131350073783114,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,1,7,values+mask_kept,0.39251304418415156,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,2,7,values,0.4835339323606967,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,2,7,values+mask_full,0.49855987619895553,0.34271666666666667,60000,61
sweep_42739,holdout,0.1,2,7,values+mask_kept,0.4835339323606967,0.34271666666666667,60000,61
