dataset,slice,q,draw,k,arm,auprc,prevalence,n,p
sweep_46654,holdout,0.0,-1,0,mask_full,0.07211837106910493,0.06079374624173181,49890,41
sweep_46654,holdout,1.0,0,41,values,0.9705338835618711,0.06079374624173181,49890,41
sweep_46654,holdout,1.0,0,41,values+mask_full,0.9705338835618711,0.06079374624173181,49890,41
sweep_46654,holdout,1.0,0,41,values+mask_kept,0.9705338835618711,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,0,31,values,0.9523076768788742,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,0,31,values+mask_full,0.9523076768788742,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,0,31,values+mask_kept,0.9523076768788742,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,1,31,values,0.9573338707421516,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,1,31,values+mask_full,0.9573338707421516,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,1,31,values+mask_kept,0.9573338707421516,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,2,31,values,0.9609633325471395,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,2,31,values+mask_full,0.9609633325471395,0.06079374624173181,49890,41
sweep_46654,holdout,0.75,2,31,values+mask_kept,0.9609633325471395,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,0,21,values,0.7093115591021673,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,0,21,values+mask_full,0.7091415172136231,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,0,21,values+mask_kept,0.7093115591021673,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,1,21,values,0.6258252279587747,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,1,21,values+mask_full,0.6261345347720272,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,1,21,values+mask_kept,0.6258252279587747,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,2,21,values,0.7187083550743353,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,2,21,values+mask_full,0.718129365839663,0.06079374624173181,49890,41
sweep_46654,holdout,0.5,2,21,values+mask_kept,0.7187083550743353,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,0,11,values,0.702539396477487,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,0,11,values+mask_full,0.7022908376426453,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,0,11,values+mask_kept,0.702539396477487,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,1,11,values,0.5548448957258246,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,1,11,values+mask_full,0.5550495640909073,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,1,11,values+mask_kept,0.5548448957258246,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,2,11,values,0.4344217208483771,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,2,11,values+mask_full,0.4368138423785782,0.06079374624173181,49890,41
sweep_46654,holdout,0.25,2,11,values+mask_kept,0.4344217208483771,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,0,5,values,0.07359589618178712,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,0,5,values+mask_full,0.07359589618178712,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,0,5,values+mask_kept,0.07359589618178712,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,1,5,values,0.5471755341471702,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,1,5,values+mask_full,0.5507948441848651,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,1,5,values+mask_kept,0.5471755341471702,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,2,5,values,0.9057622819570559,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,2,5,values+mask_full,0.9060163806062169,0.06079374624173181,49890,41
sweep_46654,holdout,0.1,2,5,values+mask_kept,0.9057622819570559,0.06079374624173181,49890,41
