dataset,panel,seed,auroc_values,auroc_panels,auroc_both,imp_values,imp_panels,imp_share_values,n_panels,n_full
sweep_41275,0,0,0.853756979582996,0.5119744597234196,0.8611864066152765,0.26527488775884345,0.017740150333116933,0.937317287262479,3,4
sweep_41275,0,1,0.853756979582996,0.5119744597234196,0.8611864066152765,0.26840910019484565,0.018594081757351666,0.9352129769751171,3,4
sweep_41275,0,2,0.853756979582996,0.5119744597234196,0.8611864066152765,0.2636710798808073,0.020460740851818038,0.9279885624951805,3,4
sweep_41275,1,0,0.999071726908059,0.6144821413339919,0.9991233836222176,0.2389484952629659,0.00018890928469406099,0.9992100387429922,3,4
sweep_41275,1,1,0.999071726908059,0.6144821413339919,0.9991233836222176,0.23856235226641076,0.0003042719204400246,0.9987261848679119,3,4
sweep_41275,1,2,0.999071726908059,0.6144821413339919,0.9991233836222176,0.23947497925140127,0.00022007869248874545,0.9990818388398301,3,4
sweep_41275,2,0,0.8715397419298151,0.5935485639382795,0.8753753103493263,0.36151037848376943,0.02018644433206651,0.9471139314622846,3,4
sweep_41275,2,1,0.8715397419298151,0.5935485639382795,0.8753753103493263,0.3573420237916817,0.02142872967490439,0.943425595881455,3,4
sweep_41275,2,2,0.8715397419298151,0.5935485639382795,0.8753753103493263,0.35424241956911606,0.020474102433469255,0.9453610897004217,3,4
