dataset,panel,seed,auroc_values,auroc_panels,auroc_both,imp_values,imp_panels,imp_share_values,n_panels,n_full
sweep_46654,0,0,1.0,0.5085677187443958,1.0,0.49694780913663705,0.0,1.0,2,16
sweep_46654,0,1,1.0,0.5085677187443958,1.0,0.4979060118694485,0.0,1.0,2,16
sweep_46654,0,2,1.0,0.5085677187443958,1.0,0.4997133475239445,0.0,1.0,2,16
sweep_46654,1,0,0.6412134092246276,0.5060742401310881,0.6412134092246276,0.1692563296361751,0.0,1.0,2,16
sweep_46654,1,1,0.6412134092246276,0.5060742401310881,0.6412134092246276,0.1663530979154343,0.0,1.0,2,16
sweep_46654,1,2,0.6412134092246276,0.5060742401310881,0.6412134092246276,0.17098937504496659,0.0,1.0,2,16
