dataset,panel,seed,auroc_values,auroc_panels,auroc_both,imp_values,imp_panels,imp_share_values,n_panels,n_full
sweep_42333,0,0,0.9999758636589346,0.9997899945783804,0.9999997897222306,0.2521796430851544,0.0003697291216967491,0.9985360125092929,18,6
sweep_42333,0,1,0.9999758636589346,0.9997899945783804,0.9999997897222306,0.25400006333667713,0.0003568945773662069,0.9985968751148265,18,6
sweep_42333,0,2,0.9999758636589346,0.9997899945783804,0.9999997897222306,0.25112644534298034,0.0003563916841465842,0.9985828389389924,18,6
sweep_42333,1,0,1.0000000000000002,1.0,1.0,0.4355660834161623,1.1102230246251565e-16,0.9999999999999998,18,6
sweep_42333,1,1,1.0000000000000002,1.0,1.0,0.4398794146730344,0.0,1.0,18,6
sweep_42333,1,2,1.0000000000000002,1.0,1.0,0.4390506796782382,1.1102230246251565e-16,0.9999999999999998,18,6
sweep_42333,2,0,0.9984249272553065,0.9987284369374853,0.9997698755794606,0.1278373326091008,0.0029828676716099345,0.9771987226345062,18,6
sweep_42333,2,1,0.9984249272553065,0.9987284369374853,0.9997698755794606,0.12709937902626922,0.0028140903110170923,0.9783387332709048,18,6
sweep_42333,2,2,0.9984249272553065,0.9987284369374853,0.9997698755794606,0.12604772798062802,0.002991326915200876,0.9768184375062594,18,6
sweep_42333,3,0,0.995860685995167,0.9999090843107048,0.9999975179641056,0.000149960455531728,0.01295050187556912,0.011446959026454956,18,6
sweep_42333,3,1,0.995860685995167,0.9999090843107048,0.9999975179641056,0.00013519679182538713,0.013129633669301755,0.010192123617530137,18,6
sweep_42333,3,2,0.995860685995167,0.9999090843107048,0.9999975179641056,0.00011783242915375247,0.013753514651824061,0.008494663745768394,18,6
sweep_42333,4,0,0.997264985617507,0.999999633748263,0.9999999905483423,0.011081974170774611,0.03255063494062793,0.25398376114708554,18,6
sweep_42333,4,1,0.997264985617507,0.999999633748263,0.9999999905483423,0.010553754101098378,0.0334017000091853,0.24010112771487113,18,6
sweep_42333,4,2,0.997264985617507,0.999999633748263,0.9999999905483423,0.010478419663168426,0.03272399252086633,0.24254246773379648,18,6
sweep_42333,5,0,0.9765754522970532,0.9981285909814334,0.9993967764247701,0.003667913920846644,0.017015189807466302,0.17733866101660864,18,6
sweep_42333,5,1,0.9765754522970532,0.9981285909814334,0.9993967764247701,0.0036689683847394017,0.016974471596472918,0.1777304745758723,18,6
sweep_42333,5,2,0.9765754522970532,0.9981285909814334,0.9993967764247701,0.0035528100469202073,0.01683327981077032,0.1742761888974963,18,6
sweep_42333,6,0,0.9774986891199628,0.9827823500327666,0.9953804049445198,0.03828388015313622,0.11916474699720259,0.2431515653456991,18,6
sweep_42333,6,1,0.9774986891199628,0.9827823500327666,0.9953804049445198,0.037481233011078974,0.11879015273996973,0.23984706368950492,18,6
sweep_42333,6,2,0.9774986891199628,0.9827823500327666,0.9953804049445198,0.03615496985803901,0.12013035555294849,0.23133950524760635,18,6
sweep_42333,7,0,0.897634055013187,0.8693960065900066,0.9202591898269575,0.1499254331173796,0.46636895119924493,0.24326918585121265,18,6
sweep_42333,7,1,0.897634055013187,0.8693960065900066,0.9202591898269575,0.14863162551766684,0.4644688048378214,0.2424262293071417,18,6
sweep_42333,7,2,0.897634055013187,0.8693960065900066,0.9202591898269575,0.1486809876291313,0.45748562661731373,0.2452807266760539,18,6
sweep_42333,8,0,0.9139540261255198,0.9639507066650372,0.9838103083321545,0.06689649922215335,0.12886768511752134,0.3417198066530892,18,6
