dataset,panel,seed,auroc_values,auroc_panels,auroc_both,imp_values,imp_panels,imp_share_values,n_panels,n_full
cand_eicu_regime,0,0,0.5496672333540136,0.7733952626272089,0.7755558333350978,0.010158818658418722,0.301099487414794,0.03263790382522101,30,2
cand_eicu_regime,0,1,0.5496672333540136,0.7733952626272089,0.7755558333350978,0.009782057678436429,0.3053095800188058,0.03104511992106747,30,2
cand_eicu_regime,0,2,0.5496672333540136,0.7733952626272089,0.7755558333350978,0.010141050886213754,0.2998093350283263,0.03271830379011,30,2
cand_eicu_regime,1,0,0.5116557797418482,0.9969878596401285,0.9966377463717748,4.1986450838082945e-05,0.11461222312863473,0.00036620069155838495,30,2
cand_eicu_regime,1,1,0.5116557797418482,0.9969878596401285,0.9966377463717748,3.110923904592333e-05,0.11406941306138163,0.00027264764804504985,30,2
cand_eicu_regime,1,2,0.5116557797418482,0.9969878596401285,0.9966377463717748,0.0001809481702028659,0.11513973001286248,0.001569086941334324,30,2
cand_eicu_regime,2,0,0.4978373128768498,0.9993984365462865,0.9993635244212644,5.503765926495596e-05,0.006469996116002741,0.008434846647624897,30,2
cand_eicu_regime,2,1,0.4978373128768498,0.9993984365462865,0.9993635244212644,3.1630497918655465e-06,0.0063854238128043805,0.0004951094600254242,30,2
cand_eicu_regime,2,2,0.4978373128768498,0.9993984365462865,0.9993635244212644,3.964335976269773e-05,0.005851728083490881,0.00672905454095833,30,2
cand_eicu_regime,3,0,0.5200562189873414,0.9948236710653902,0.9945556728902734,0.00029421732698442504,0.02118079069806067,0.01370045248138189,30,2
cand_eicu_regime,3,1,0.5200562189873414,0.9948236710653902,0.9945556728902734,0.0004053603996926336,0.02104172240696678,0.01890049119252561,30,2
cand_eicu_regime,3,2,0.5200562189873414,0.9948236710653902,0.9945556728902734,0.00028755638097566205,0.020549448094265732,0.013800274474065483,30,2
cand_eicu_regime,4,0,0.5042187730669406,0.9710526561311903,0.9706469936836428,0.0008928550813366298,0.3639571739048155,0.002447183802664623,30,2
cand_eicu_regime,4,1,0.5042187730669406,0.9710526561311903,0.9706469936836428,0.0004966662034724401,0.36834274635321573,0.00134656489128885,30,2
cand_eicu_regime,4,2,0.5042187730669406,0.9710526561311903,0.9706469936836428,0.0008437343515875773,0.365522536988503,0.002302980425849178,30,2
cand_eicu_regime,5,0,0.5222696197744158,0.9873000413657409,0.9872517345834313,4.386105080111946e-05,0.4520666760123907,9.701399813866531e-05,30,2
cand_eicu_regime,5,1,0.5222696197744158,0.9873000413657409,0.9872517345834313,7.380176810589667e-05,0.4557110508225001,0.00016192238001420974,30,2
cand_eicu_regime,5,2,0.5222696197744158,0.9873000413657409,0.9872517345834313,1.9037331086990683e-05,0.45577471609776155,4.176742428735917e-05,30,2
cand_eicu_regime,6,0,0.5174343506323578,0.9964144702071578,0.9963614655605049,8.025885557938484e-05,0.07810929137259315,0.001026465241776857,30,2
cand_eicu_regime,6,1,0.5174343506323578,0.9964144702071578,0.9963614655605049,2.6590006778404174e-05,0.0753642381550953,0.0003526955125272274,30,2
cand_eicu_regime,6,2,0.5174343506323578,0.9964144702071578,0.9963614655605049,2.895088371990262e-05,0.07629210005856824,0.0003793302550536742,30,2
cand_eicu_regime,7,0,0.5148320821919357,0.9982422019141042,0.9983321789522155,7.765650246382982e-05,0.009620338445956111,0.008007480193262228,30,2
cand_eicu_regime,7,1,0.5148320821919357,0.9982422019141042,0.9983321789522155,4.5432687007407324e-05,0.00964793608136083,0.004686986340152967,30,2
cand_eicu_regime,7,2,0.5148320821919357,0.9982422019141042,0.9983321789522155,0.0,0.00933702534845915,0.0,30,2
cand_eicu_regime,8,0,0.5094743114067568,0.9997297907138669,0.9995994200140513,0.0,0.15866378953775018,0.0,30,2
cand_eicu_regime,8,1,0.5094743114067568,0.9997297907138669,0.9995994200140513,9.831171703944541e-06,0.15784163205569812,6.22811566198894e-05,30,2
cand_eicu_regime,8,2,0.5094743114067568,0.9997297907138669,0.9995994200140513,9.60645920777825e-06,0.16044530458894868,5.987014760112339e-05,30,2
cand_eicu_regime,9,0,0.5125325762757066,0.9724523925925241,0.9720202821904163,0.0002533733552576578,0.30349595756503245,0.0008341528012259162,30,2
cand_eicu_regime,9,1,0.5125325762757066,0.9724523925925241,0.9720202821904163,0.0001243592755821865,0.2967234049153584,0.00041893283556009947,30,2
cand_eicu_regime,9,2,0.5125325762757066,0.9724523925925241,0.9720202821904163,0.00017259926892188027,0.29590079870989694,0.0005829610836372003,30,2
cand_eicu_regime,10,0,0.4980525157098999,0.9197105695742775,0.9183868244934283,0.00031036796024030977,0.45190763391011923,0.0006863237618950098,30,2
cand_eicu_regime,10,1,0.4980525157098999,0.9197105695742775,0.9183868244934283,0.0003127210988571605,0.4493415823664857,0.0006954700454262716,30,2
cand_eicu_regime,10,2,0.4980525157098999,0.9197105695742775,0.9183868244934283,0.00034281585205553355,0.45120403534027065,0.0007592032834473668,30,2
cand_eicu_regime,11,0,0.5084013517863702,0.9989979176460486,0.9989913637461157,3.066063680889908e-05,0.29133240823767337,0.00010523171974862581,30,2
cand_eicu_regime,11,1,0.5084013517863702,0.9989979176460486,0.9989913637461157,4.001119979235579e-05,0.291257303096195,0.00013735519631911328,30,2
cand_eicu_regime,11,2,0.5084013517863702,0.9989979176460486,0.9989913637461157,3.437387794347213e-05,0.2890641018576904,0.00011890023929045315,30,2
cand_eicu_regime,12,0,0.536407856251212,0.9946382649740305,0.9946045963256664,3.537371778050691e-05,0.27740916932480053,0.00012749833675798012,30,2
cand_eicu_regime,12,1,0.536407856251212,0.9946382649740305,0.9946045963256664,3.982594621831925e-05,0.2784800953155262,0.00014299137396671903,30,2
cand_eicu_regime,12,2,0.536407856251212,0.9946382649740305,0.9946045963256664,4.966338305056883e-05,0.2744881884626471,0.00018089812649398098,30,2
cand_eicu_regime,13,0,0.5376565610090033,0.950487529511135,0.9499902200817176,0.000370349518859614,0.3336705664349444,0.0011086950764762939,30,2
cand_eicu_regime,13,1,0.5376565610090033,0.950487529511135,0.9499902200817176,0.0004671959895623523,0.3384959246771927,0.0013783092055659556,30,2
cand_eicu_regime,13,2,0.5376565610090033,0.950487529511135,0.9499902200817176,0.0004655118752190379,0.33424126258627895,0.0013908050590490414,30,2
cand_eicu_regime,14,0,0.5096176725360019,0.900379903619289,0.9004742268912999,0.00024269891542216815,0.5551770221076407,0.0004369648866178636,30,2
cand_eicu_regime,14,1,0.5096176725360019,0.900379903619289,0.9004742268912999,0.00021010761175255244,0.5581102843585436,0.0003763208630282854,30,2
cand_eicu_regime,14,2,0.5096176725360019,0.900379903619289,0.9004742268912999,0.00021969404427124584,0.5624527448557125,0.0003904474949950355,30,2
cand_eicu_regime,15,0,0.5126151192331861,0.8769482485730907,0.8770752585685657,0.0017664309382736665,0.3275977895216182,0.005363153702023843,30,2
cand_eicu_regime,15,1,0.5126151192331861,0.8769482485730907,0.8770752585685657,0.001521382742363686,0.3281426460971769,0.004614949188478789,30,2
cand_eicu_regime,15,2,0.5126151192331861,0.8769482485730907,0.8770752585685657,0.0013276770314240016,0.32910555787839313,0.0040179887830785405,30,2
cand_eicu_regime,16,0,0.5328256659080102,0.9681460198240528,0.9682211576690682,0.0008994230698157191,0.1981444084513445,0.004518718630675585,30,2
cand_eicu_regime,16,1,0.5328256659080102,0.9681460198240528,0.9682211576690682,0.0010087971263497142,0.1975271572276991,0.0050811810366132885,30,2
cand_eicu_regime,16,2,0.5328256659080102,0.9681460198240528,0.9682211576690682,0.0009311394024772435,0.19909005080369702,0.004655203788745884,30,2
cand_eicu_regime,17,0,0.5339159523732632,0.9842289234583421,0.9840473700059211,4.3874084941109004e-05,0.36958653685114295,0.00011869717329263701,30,2
cand_eicu_regime,17,1,0.5339159523732632,0.9842289234583421,0.9840473700059211,0.00010126678956101642,0.36870265806184077,0.0002745816482344074,30,2
cand_eicu_regime,17,2,0.5339159523732632,0.9842289234583421,0.9840473700059211,5.595971398797417e-05,0.3685700349377288,0.00015180620683260748,30,2
cand_eicu_regime,18,0,0.5064301886758446,0.9660372325799559,0.9658638663195183,0.00030176723119568205,0.4383795390371088,0.0006878962629219409,30,2
cand_eicu_regime,18,1,0.5064301886758446,0.9660372325799559,0.9658638663195183,0.0001819777210977369,0.44207678276491513,0.0004114734118500118,30,2
cand_eicu_regime,18,2,0.5064301886758446,0.9660372325799559,0.9658638663195183,0.00046314521190782276,0.4403071764429827,0.0010507631506788497,30,2
