dataset,panel,seed,auroc_values,auroc_panels,auroc_both,imp_values,imp_panels,imp_share_values,n_panels,n_full
sweep_46703,0,0,0.6337585822254,0.5065053058539217,0.6337585822254,0.1599927078146285,0.0,1.0,2,16
sweep_46703,0,1,0.6337585822254,0.5065053058539217,0.6337585822254,0.1565725195872143,0.0,1.0,2,16
sweep_46703,0,2,0.6337585822254,0.5065053058539217,0.6337585822254,0.15684787933978694,0.0,1.0,2,16
sweep_46703,1,0,1.0,0.5091952618245038,1.0,0.5024544891921825,0.0,1.0,2,16
sweep_46703,1,1,1.0,0.5091952618245038,1.0,0.5008368221865416,0.0,1.0,2,16
sweep_46703,1,2,1.0,0.5091952618245038,1.0,0.501780169512002,0.0,1.0,2,16
