dataset,panel,seed,auroc_values,auroc_panels,auroc_both,imp_values,imp_panels,imp_share_values,n_panels,n_full
cand_mimic4_regime,0,0,0.550675842203683,0.9595096923342143,0.9593417486263501,0.0002830145359583591,0.15477720857664634,0.0018251910791643453,22,2
cand_mimic4_regime,0,1,0.550675842203683,0.9595096923342143,0.9593417486263501,0.00030270777871044263,0.1580619667487675,0.0019114602395619463,22,2
cand_mimic4_regime,0,2,0.550675842203683,0.9595096923342143,0.9593417486263501,0.00022748950460027562,0.1559475842076451,0.0014566313252998876,22,2
cand_mimic4_regime,1,0,0.555352889979634,0.9832796627071635,0.9822979703943238,0.001032792021145701,0.28659508217450136,0.0035907229924565186,22,2
cand_mimic4_regime,1,1,0.555352889979634,0.9832796627071635,0.9822979703943238,0.0017125137363054321,0.28569664414832285,0.0059584522250779115,22,2
cand_mimic4_regime,1,2,0.555352889979634,0.9832796627071635,0.9822979703943238,0.0009652456805320231,0.2863878372265717,0.003359092830210109,22,2
cand_mimic4_regime,2,0,0.5297569027526965,0.9869910167143015,0.9893311926148013,0.0010407567632381154,0.027532288673149274,0.036424425445133884,22,2
cand_mimic4_regime,2,1,0.5297569027526965,0.9869910167143015,0.9893311926148013,0.0007828788088476424,0.02272040650866669,0.03330933519597159,22,2
cand_mimic4_regime,2,2,0.5297569027526965,0.9869910167143015,0.9893311926148013,0.00102128634734433,0.027243342098289935,0.036133018670623185,22,2
cand_mimic4_regime,3,0,0.5023433271305813,0.9806691926066613,0.980534423443749,0.0034121465655252425,0.0437002336669875,0.07242568829435803,22,2
cand_mimic4_regime,3,1,0.5023433271305813,0.9806691926066613,0.980534423443749,0.0020712036892570618,0.04551656326967113,0.043523868036183876,22,2
cand_mimic4_regime,3,2,0.5023433271305813,0.9806691926066613,0.980534423443749,0.0006178197273136732,0.04795229112152288,0.012720163007996766,22,2
cand_mimic4_regime,4,0,0.5220318585946371,0.9824438598924649,0.9816822577786682,0.0,0.302778805715313,0.0,22,2
cand_mimic4_regime,4,1,0.5220318585946371,0.9824438598924649,0.9816822577786682,0.0,0.3016389623438116,0.0,22,2
cand_mimic4_regime,4,2,0.5220318585946371,0.9824438598924649,0.9816822577786682,0.0,0.3083407450146147,0.0,22,2
cand_mimic4_regime,5,0,0.5799488652535658,0.9948618365548856,0.9945893515651052,0.00015164216297502975,0.09863385379166079,0.001535065056966123,22,2
cand_mimic4_regime,5,1,0.5799488652535658,0.9948618365548856,0.9945893515651052,0.0,0.0986584192614629,0.0,22,2
cand_mimic4_regime,5,2,0.5799488652535658,0.9948618365548856,0.9945893515651052,0.00046803891107627393,0.10007567084082303,0.0046550789923228645,22,2
cand_mimic4_regime,6,0,0.5914820292307466,0.9887401418083475,0.9885702842777243,0.00025251724633135186,0.15695974498783716,0.0016062185146552123,22,2
cand_mimic4_regime,6,1,0.5914820292307466,0.9887401418083475,0.9885702842777243,0.00013429354539329363,0.15434599670231686,0.0008693247868576183,22,2
cand_mimic4_regime,6,2,0.5914820292307466,0.9887401418083475,0.9885702842777243,0.00021096980837831403,0.1547040402966653,0.0013618422658673373,22,2
cand_mimic4_regime,7,0,0.5504439213505579,0.9344766859547313,0.9348868892485593,0.000962396142695332,0.19875760409109078,0.0048187269255396585,22,2
cand_mimic4_regime,7,1,0.5504439213505579,0.9344766859547313,0.9348868892485593,0.0013222025113267533,0.19588059957391035,0.006704785618387191,22,2
cand_mimic4_regime,7,2,0.5504439213505579,0.9344766859547313,0.9348868892485593,0.001260357427522063,0.19738745954021042,0.0063446830011063765,22,2
