dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
sweep_46703,-1,fit,lca_1,-1.2159064119161465,2,25,16,60000,60000
sweep_46703,-1,fit,lca_2,-1.2157862269596542,2,25,16,60000,60000
sweep_46703,0,auroc,values,0.6337585822254,2,25,16,60000,60000
sweep_46703,0,auroc,panels_tree,0.5065053058539217,2,25,16,60000,60000
sweep_46703,0,auroc,panels_l1,0.5065053058539217,2,25,16,60000,60000
sweep_46703,0,auroc,lca_1,0.5,2,25,16,60000,60000
sweep_46703,0,auroc,lca_2,0.5065053058539217,2,25,16,60000,60000
sweep_46703,0,auroc,both,0.6337585822254,2,25,16,60000,60000
sweep_46703,1,auroc,values,1.0,2,25,16,60000,60000
sweep_46703,1,auroc,panels_tree,0.5091952618245038,2,25,16,60000,60000
sweep_46703,1,auroc,panels_l1,0.5091952618245038,2,25,16,60000,60000
sweep_46703,1,auroc,lca_1,0.5,2,25,16,60000,60000
sweep_46703,1,auroc,lca_2,0.5091952618245038,2,25,16,60000,60000
sweep_46703,1,auroc,both,1.0,2,25,16,60000,60000
