dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
sweep_42093,-1,fit,lca_1,-5.053337058723147,11,13,13,60000,60000
sweep_42093,-1,fit,lca_2,-4.439306824123366,11,13,13,60000,60000
sweep_42093,-1,fit,lca_5,-4.180973250831554,11,13,13,60000,60000
sweep_42093,-1,fit,lca_10,-4.142957100176448,11,13,13,60000,60000
sweep_42093,-1,fit,lca_20,-4.130368525683277,11,13,13,60000,60000
sweep_42093,-1,fit,lca_50,-4.118710747524572,11,13,13,60000,60000
sweep_42093,-1,fit,lca_100,-4.1165072247331,11,13,13,60000,60000
sweep_42093,0,auroc,values,0.8359402200062527,11,13,13,60000,60000
sweep_42093,0,auroc,panels_tree,0.9679230858968911,11,13,13,60000,60000
sweep_42093,0,auroc,panels_l1,0.9631966897477149,11,13,13,60000,60000
sweep_42093,0,auroc,lca_1,0.5,11,13,13,60000,60000
sweep_42093,0,auroc,lca_2,0.9621272082213845,11,13,13,60000,60000
sweep_42093,0,auroc,lca_5,0.9657670733327551,11,13,13,60000,60000
sweep_42093,0,auroc,lca_10,0.9667794945973787,11,13,13,60000,60000
sweep_42093,0,auroc,lca_20,0.9681797662330913,11,13,13,60000,60000
sweep_42093,0,auroc,lca_50,0.968673618767951,11,13,13,60000,60000
sweep_42093,0,auroc,lca_100,0.9686076009175721,11,13,13,60000,60000
sweep_42093,0,auroc,both,0.9821478126440315,11,13,13,60000,60000
sweep_42093,1,auroc,values,0.8112892768374165,11,13,13,60000,60000
sweep_42093,1,auroc,panels_tree,0.806073537184283,11,13,13,60000,60000
sweep_42093,1,auroc,panels_l1,0.7752981480297358,11,13,13,60000,60000
sweep_42093,1,auroc,lca_1,0.5,11,13,13,60000,60000
sweep_42093,1,auroc,lca_2,0.7017645008024039,11,13,13,60000,60000
sweep_42093,1,auroc,lca_5,0.7845425204845068,11,13,13,60000,60000
sweep_42093,1,auroc,lca_10,0.7971916393259876,11,13,13,60000,60000
sweep_42093,1,auroc,lca_20,0.8066542069696765,11,13,13,60000,60000
sweep_42093,1,auroc,lca_50,0.8137159631576809,11,13,13,60000,60000
sweep_42093,1,auroc,lca_100,0.8151689795883916,11,13,13,60000,60000
sweep_42093,1,auroc,both,0.8822718934393918,11,13,13,60000,60000
sweep_42093,2,auroc,values,0.7170822105243546,11,13,13,60000,60000
sweep_42093,2,auroc,panels_tree,0.5894549058592673,11,13,13,60000,60000
sweep_42093,2,auroc,panels_l1,0.561731995133706,11,13,13,60000,60000
sweep_42093,2,auroc,lca_1,0.5,11,13,13,60000,60000
sweep_42093,2,auroc,lca_2,0.5272901320857215,11,13,13,60000,60000
sweep_42093,2,auroc,lca_5,0.553694605655258,11,13,13,60000,60000
sweep_42093,2,auroc,lca_10,0.5707436266043602,11,13,13,60000,60000
sweep_42093,2,auroc,lca_20,0.5894760874312868,11,13,13,60000,60000
sweep_42093,2,auroc,lca_50,0.6098081928469337,11,13,13,60000,60000
sweep_42093,2,auroc,lca_100,0.6149053180501834,11,13,13,60000,60000
sweep_42093,2,auroc,both,0.7312504139043845,11,13,13,60000,60000
sweep_42093,3,auroc,values,0.7902994113824731,11,13,13,60000,60000
sweep_42093,3,auroc,panels_tree,0.8171342591010297,11,13,13,60000,60000
sweep_42093,3,auroc,panels_l1,0.794437910992507,11,13,13,60000,60000
sweep_42093,3,auroc,lca_1,0.5,11,13,13,60000,60000
sweep_42093,3,auroc,lca_2,0.6481194670266426,11,13,13,60000,60000
sweep_42093,3,auroc,lca_5,0.7990369552586539,11,13,13,60000,60000
sweep_42093,3,auroc,lca_10,0.8167504281998336,11,13,13,60000,60000
sweep_42093,3,auroc,lca_20,0.8203736821342298,11,13,13,60000,60000
sweep_42093,3,auroc,lca_50,0.8245622563555273,11,13,13,60000,60000
sweep_42093,3,auroc,lca_100,0.8247368933639023,11,13,13,60000,60000
sweep_42093,3,auroc,both,0.8703017266937308,11,13,13,60000,60000
sweep_42093,4,auroc,values,0.9525361629650733,11,13,13,60000,60000
sweep_42093,4,auroc,panels_tree,0.9575139448902721,11,13,13,60000,60000
sweep_42093,4,auroc,panels_l1,0.9419982160744399,11,13,13,60000,60000
sweep_42093,4,auroc,lca_1,0.5,11,13,13,60000,60000
sweep_42093,4,auroc,lca_2,0.7790855296929597,11,13,13,60000,60000
sweep_42093,4,auroc,lca_5,0.9171538016134179,11,13,13,60000,60000
