dataset,panel,kind,model,value,n_panels,n_cols_missing,n_full,n_dev,n_holdout
sweep_42333,-1,fit,lca_1,-8.152649225583021,18,26,6,44876,44567
sweep_42333,-1,fit,lca_2,-5.794515231430685,18,26,6,44876,44567
sweep_42333,-1,fit,lca_5,-4.575257089230085,18,26,6,44876,44567
sweep_42333,-1,fit,lca_10,-4.124663127845281,18,26,6,44876,44567
sweep_42333,-1,fit,lca_20,-3.8153458294908194,18,26,6,44876,44567
sweep_42333,-1,fit,lca_50,-3.7535681598452917,18,26,6,44876,44567
sweep_42333,-1,fit,lca_100,-3.728787851757828,18,26,6,44876,44567
sweep_42333,0,auroc,values,0.9999758636589346,18,26,6,44876,44567
sweep_42333,0,auroc,panels_tree,0.9997899945783804,18,26,6,44876,44567
sweep_42333,0,auroc,panels_l1,0.9982114951002745,18,26,6,44876,44567
sweep_42333,0,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,0,auroc,lca_2,0.8763284222073593,18,26,6,44876,44567
sweep_42333,0,auroc,lca_5,0.9958815300114512,18,26,6,44876,44567
sweep_42333,0,auroc,lca_10,0.9982865604637258,18,26,6,44876,44567
sweep_42333,0,auroc,lca_20,0.9985517219975881,18,26,6,44876,44567
sweep_42333,0,auroc,lca_50,0.9998037867732751,18,26,6,44876,44567
sweep_42333,0,auroc,lca_100,0.9998750202677368,18,26,6,44876,44567
sweep_42333,0,auroc,both,0.9999997897222306,18,26,6,44876,44567
sweep_42333,1,auroc,values,1.0000000000000002,18,26,6,44876,44567
sweep_42333,1,auroc,panels_tree,1.0,18,26,6,44876,44567
sweep_42333,1,auroc,panels_l1,0.9999924023940296,18,26,6,44876,44567
sweep_42333,1,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,1,auroc,lca_2,0.8488579508375027,18,26,6,44876,44567
sweep_42333,1,auroc,lca_5,0.9998760327587435,18,26,6,44876,44567
sweep_42333,1,auroc,lca_10,0.9998805717296456,18,26,6,44876,44567
sweep_42333,1,auroc,lca_20,1.0,18,26,6,44876,44567
sweep_42333,1,auroc,lca_50,1.0,18,26,6,44876,44567
sweep_42333,1,auroc,lca_100,1.0,18,26,6,44876,44567
sweep_42333,1,auroc,both,1.0,18,26,6,44876,44567
sweep_42333,2,auroc,values,0.9984249272553065,18,26,6,44876,44567
sweep_42333,2,auroc,panels_tree,0.9987284369374853,18,26,6,44876,44567
sweep_42333,2,auroc,panels_l1,0.9941862688060951,18,26,6,44876,44567
sweep_42333,2,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,2,auroc,lca_2,0.8969976399953844,18,26,6,44876,44567
sweep_42333,2,auroc,lca_5,0.9771266017610365,18,26,6,44876,44567
sweep_42333,2,auroc,lca_10,0.9931998626468025,18,26,6,44876,44567
sweep_42333,2,auroc,lca_20,0.9981017782406054,18,26,6,44876,44567
sweep_42333,2,auroc,lca_50,0.998451837769993,18,26,6,44876,44567
sweep_42333,2,auroc,lca_100,0.9989815297248462,18,26,6,44876,44567
sweep_42333,2,auroc,both,0.9997698755794606,18,26,6,44876,44567
sweep_42333,3,auroc,values,0.995860685995167,18,26,6,44876,44567
sweep_42333,3,auroc,panels_tree,0.9999090843107048,18,26,6,44876,44567
sweep_42333,3,auroc,panels_l1,0.9998765409635798,18,26,6,44876,44567
sweep_42333,3,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,3,auroc,lca_2,0.811004664843079,18,26,6,44876,44567
sweep_42333,3,auroc,lca_5,0.9061420400911093,18,26,6,44876,44567
sweep_42333,3,auroc,lca_10,0.9989079042064675,18,26,6,44876,44567
sweep_42333,3,auroc,lca_20,0.9990503691113698,18,26,6,44876,44567
sweep_42333,3,auroc,lca_50,0.9998891390262469,18,26,6,44876,44567
sweep_42333,3,auroc,lca_100,0.999861539973732,18,26,6,44876,44567
sweep_42333,3,auroc,both,0.9999975179641056,18,26,6,44876,44567
sweep_42333,4,auroc,values,0.997264985617507,18,26,6,44876,44567
sweep_42333,4,auroc,panels_tree,0.999999633748263,18,26,6,44876,44567
sweep_42333,4,auroc,panels_l1,0.999246910815462,18,26,6,44876,44567
sweep_42333,4,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,4,auroc,lca_2,0.7375703541231807,18,26,6,44876,44567
sweep_42333,4,auroc,lca_5,0.9999390533480483,18,26,6,44876,44567
sweep_42333,4,auroc,lca_10,0.9999787408588529,18,26,6,44876,44567
sweep_42333,4,auroc,lca_20,0.9999616380841921,18,26,6,44876,44567
sweep_42333,4,auroc,lca_50,0.9999991564395476,18,26,6,44876,44567
sweep_42333,4,auroc,lca_100,0.9999995297800279,18,26,6,44876,44567
sweep_42333,4,auroc,both,0.9999999905483423,18,26,6,44876,44567
sweep_42333,5,auroc,values,0.9765754522970532,18,26,6,44876,44567
sweep_42333,5,auroc,panels_tree,0.9981285909814334,18,26,6,44876,44567
sweep_42333,5,auroc,panels_l1,0.9968275942571332,18,26,6,44876,44567
sweep_42333,5,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,5,auroc,lca_2,0.9962280938379585,18,26,6,44876,44567
sweep_42333,5,auroc,lca_5,0.9960836932184516,18,26,6,44876,44567
sweep_42333,5,auroc,lca_10,0.9975559272363483,18,26,6,44876,44567
sweep_42333,5,auroc,lca_20,0.9980685670960602,18,26,6,44876,44567
sweep_42333,5,auroc,lca_50,0.9982950527206332,18,26,6,44876,44567
sweep_42333,5,auroc,lca_100,0.9984411202399661,18,26,6,44876,44567
sweep_42333,5,auroc,both,0.9993967764247701,18,26,6,44876,44567
sweep_42333,6,auroc,values,0.9774986891199628,18,26,6,44876,44567
sweep_42333,6,auroc,panels_tree,0.9827823500327666,18,26,6,44876,44567
sweep_42333,6,auroc,panels_l1,0.9781600362042853,18,26,6,44876,44567
sweep_42333,6,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,6,auroc,lca_2,0.8080978441291209,18,26,6,44876,44567
sweep_42333,6,auroc,lca_5,0.9406001110528357,18,26,6,44876,44567
sweep_42333,6,auroc,lca_10,0.9365668319261891,18,26,6,44876,44567
sweep_42333,6,auroc,lca_20,0.9772491108343313,18,26,6,44876,44567
sweep_42333,6,auroc,lca_50,0.9818524471831234,18,26,6,44876,44567
sweep_42333,6,auroc,lca_100,0.9826078663512356,18,26,6,44876,44567
sweep_42333,6,auroc,both,0.9953804049445198,18,26,6,44876,44567
sweep_42333,7,auroc,values,0.897634055013187,18,26,6,44876,44567
sweep_42333,7,auroc,panels_tree,0.8693960065900066,18,26,6,44876,44567
sweep_42333,7,auroc,panels_l1,0.8419188473830432,18,26,6,44876,44567
sweep_42333,7,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,7,auroc,lca_2,0.6737965682443031,18,26,6,44876,44567
sweep_42333,7,auroc,lca_5,0.7451331861581321,18,26,6,44876,44567
sweep_42333,7,auroc,lca_10,0.812402532450699,18,26,6,44876,44567
sweep_42333,7,auroc,lca_20,0.8559116673448051,18,26,6,44876,44567
sweep_42333,7,auroc,lca_50,0.8754445689659709,18,26,6,44876,44567
sweep_42333,7,auroc,lca_100,0.877662528123647,18,26,6,44876,44567
sweep_42333,7,auroc,both,0.9202591898269575,18,26,6,44876,44567
sweep_42333,8,auroc,values,0.9139540261255198,18,26,6,44876,44567
sweep_42333,8,auroc,panels_tree,0.9639507066650372,18,26,6,44876,44567
sweep_42333,8,auroc,panels_l1,0.9307141602483503,18,26,6,44876,44567
sweep_42333,8,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,8,auroc,lca_2,0.7391980124092004,18,26,6,44876,44567
sweep_42333,8,auroc,lca_5,0.8599633042254061,18,26,6,44876,44567
sweep_42333,8,auroc,lca_10,0.8818892076916945,18,26,6,44876,44567
sweep_42333,8,auroc,lca_20,0.9555416284691183,18,26,6,44876,44567
sweep_42333,8,auroc,lca_50,0.959772366958221,18,26,6,44876,44567
sweep_42333,8,auroc,lca_100,0.9657125147698176,18,26,6,44876,44567
sweep_42333,8,auroc,both,0.9838103083321545,18,26,6,44876,44567
sweep_42333,9,auroc,values,0.9278043291717861,18,26,6,44876,44567
sweep_42333,9,auroc,panels_tree,0.9363329425753724,18,26,6,44876,44567
sweep_42333,9,auroc,panels_l1,0.933294872754997,18,26,6,44876,44567
sweep_42333,9,auroc,lca_1,0.5,18,26,6,44876,44567
sweep_42333,9,auroc,lca_2,0.9165309098217425,18,26,6,44876,44567
sweep_42333,9,auroc,lca_5,0.9099064004387731,18,26,6,44876,44567
sweep_42333,9,auroc,lca_10,0.9200356980612091,18,26,6,44876,44567
sweep_42333,9,auroc,lca_20,0.9354429275411744,18,26,6,44876,44567
