db,subset,n_sites,n,features,accuracy,majority,ratio
eicu,all,100,95197,mask,0.06626259230858116,0.04561068100885532,1.45278673422386
eicu,all,100,95197,values,0.32301438070527433,0.04561068100885532,7.081989866421004
eicu,all,100,95197,both,0.07513892244503503,0.04561068100885532,1.6473975126669738
eicu,top20,20,43053,mask,0.8030799247439203,0.10085243769307597,7.962920313219715
eicu,top20,20,43053,values,0.8807980860799479,0.10085243769307597,8.733532934131736
eicu,top20,20,43053,both,0.8928065407753234,0.10085243769307597,8.852602487333026
