db,subset,n_sites,n,features,accuracy,majority,ratio
mimic4,all,9,66989,mask,0.45449252862410244,0.2075415366701996,2.1898870747320722
mimic4,all,9,66989,values,0.5355207571392319,0.2075415366701996,2.5803064086887724
mimic4,all,9,66989,both,0.5415217423756139,0.2075415366701996,2.6092210314320647
mimic4,top20,9,66989,mask,0.45449252862410244,0.2075415366701996,2.1898870747320722
mimic4,top20,9,66989,values,0.5355207571392319,0.2075415366701996,2.5803064086887724
mimic4,top20,9,66989,both,0.5415217423756139,0.2075415366701996,2.6092210314320647
